(1) 800
(2) -5
(3) 1200
(4) 63
(5) .75
(6) 19/25
(7) 1 3/8
(8) 2.17
(9) 3.22
*(10) 1068-1180
(11) 3036
(12) 18
(13) 9603
(14) 144
(15) 20 6/49
(16) 6/7
(17) 2975
(18) 23/40
(19) 2024
*(20) 293619-324525
(21) 60
(22) 54
(23) 3159
(24) 19/33
(25) -5
(26) 1 3/32
(27) 25
(28) 4.40
(29) 132
*(30) 170-187
(31) 484
(32) 9
(33) 16.44
(34) 51615
(35) 3249
(36) 9
(37) 42
(38) -2
(39) 3/5 or .6
*(40) 6688-7392
(41) 20
(42) -5/34
(43) 5
(44) 122
(45) 245
(46) 1 15/49
(47) 18018
(48) 19
(49) 64
*(50) 70-76
(51) 3
(52) 368449
(53) 756
(54) 22
(55) 220
(56) 168
(57) 2
(58) 29/990
(59) 65/512
*(60) 57632-63697
(61) 1 1/6
(62) 324
(63) 13/36
(64) 3125
(65) 10 10/17
(66) 36
(67) -510
(68) 54
(69) 817
*(70) 1957-2162
(71) -11
(72) 15
(73) 3243
(74) 38
(75) 100
(76) 42
(77) 49 1/3
(78) 150
(79) 6
*(80) 149591-165337
