(1) 523
(2) 200
(3) 35
(4) 5/6
(5) 441
(6) 6
(7) 3 5/9
(8) 50
(9) 403
*(10) 3512-3880
(11) 1525
(12) 444
(13) 2516
(14) 52
(15) 3584
(16) 17
(17) 75
(18) 3375
(19) 4
*(20) 91005-100583
(21) 5/7
(22) 11988
(23) 112
(24) 84 1/2
(25) 69
(26) 203/900
(27) 3240
(28) 40
(29) 11 19/30
*(30) 1750-1934
(31) 6006
(32) 370
(33) 42
(34) 8
(35) 1728
(36) 9
(37) 78
(38) 68
(39) 81
*(40) 3682-4069
(41) 3249
(42) 601
(43) 217
(44) 13
(45) 63
(46) 21
(47) 8
(48) 4
(49) 90
*(50) 5387-5953
(51) 450
(52) 101 1/16
(53) 16
(54) -3/5 or -.6
(55) 481
(56) 5
(57) 200
(58) 147
(59) 264
*(60) 2463-2721
(61) 4/5 or .8
(62) 136
(63) 72
(64) -5
(65) 24
(66) 47773
(67) 18 4/13
(68) 784
(69) 1/3
*(70) 2048-2262
(71) 66
(72) 60
(73) 19/374
(74) 4111
(75) 7
(76) -51
(77) 23
(78) 357
(79) 296
*(80) 38304-42336
